channel_name,category,Sub-category,Customer Remarks,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,Tenure Bucket,Agent Shift,CSAT Score
Outcall,Product Queries,Life Insurance,No Remark,2023-08-01 11:13:00,2023-08-01 11:47:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Morning,5
Outcall,Product Queries,Product Specific Information,No Remark,2023-08-01 12:52:00,2023-08-01 12:54:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Order Related,Installation/demo,No Remark,2023-08-01 20:16:00,2023-08-01 20:38:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 20:56:00,2023-08-01 21:16:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Cancellation,Not Needed,No Remark,2023-08-01 10:30:00,2023-08-01 10:32:00,2023-08-01,Unknown,Unknown,979.0,0-30,Morning,5
Email,Returns,Fraudulent User,No Remark,2023-08-01 15:13:00,2023-08-01 18:39:00,2023-08-01,Unknown,Unknown,979.0,0-30,Morning,5
Outcall,Product Queries,Product Specific Information,No Remark,2023-08-01 15:31:00,2023-08-01 23:52:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Exchange / Replacement,Very good,2023-08-01 16:17:00,2023-08-01 16:23:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Returns,Missing,Shopzilla app and it's all coustomer care services is very good service provided all time,2023-08-01 21:03:00,2023-08-01 21:07:00,2023-08-01,Unknown,Unknown,979.0,>90,Split,5
Inbound,Shopzilla Related,General Enquiry,No Remark,2023-08-01 23:31:00,2023-08-01 23:36:00,2023-08-01,Unknown,Unknown,979.0,31-60,Evening,5
Outcall,Returns,Return request,No Remark,2023-08-02 18:14:00,2023-08-02 18:16:00,2023-08-02,Unknown,Unknown,979.0,0-30,Evening,4
Inbound,Order Related,Delayed,Very bad,2023-08-02 10:44:00,2023-08-02 11:14:00,2023-08-02,NAGPUR,LifeStyle,434.0,>90,Split,1
Inbound,Shopzilla Related,General Enquiry,No Remark,2023-08-01 10:09:00,2023-08-01 10:12:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Morning,4
Inbound,Shopzilla Related,General Enquiry,No Remark,2023-08-01 10:15:00,2023-08-01 11:21:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,4
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 11:26:00,2023-08-02 11:44:00,2023-08-02,Unknown,Unknown,979.0,0-30,Morning,5
Inbound,Returns,Missing,No Remark,2023-08-02 19:56:00,2023-08-02 20:06:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,5
Inbound,Returns,Service Centres Related,No Remark,2023-08-01 09:01:00,2023-08-01 09:03:00,2023-08-01,RANCHI,Electronics,1299.0,0-30,Morning,5
Inbound,Order Related,Installation/demo,Something ,2023-08-01 10:00:00,2023-08-01 10:04:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Morning,3
Inbound,Cancellation,Not Needed,No Remark,2023-08-01 21:05:00,2023-08-01 21:07:00,2023-08-01,Unknown,Unknown,979.0,31-60,Evening,5
Inbound,Order Related,Installation/demo,All good,2023-08-02 20:03:00,2023-08-02 20:05:00,2023-08-02,NAGPUR,Electronics,15990.0,31-60,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 22:31:00,2023-08-01 22:59:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Returns,Return request,Good ,2023-08-02 20:01:00,2023-08-02 20:16:00,2023-08-02,Unknown,Unknown,979.0,61-90,Evening,5
Outcall,Returns,Return request,No Remark,2023-08-02 16:15:00,2023-08-02 16:17:00,2023-08-02,Unknown,Unknown,979.0,0-30,Afternoon,4
Inbound,Payments related,Payment related Queries,Godd job,2023-08-02 16:50:00,2023-08-02 16:52:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 08:55:00,2023-08-01 08:57:00,2023-08-01,BETIA,Electronics,1099.0,31-60,Morning,5
Inbound,Order Related,Order status enquiry,Issue not resolved pathetic service,2023-08-02 11:07:00,2023-08-02 11:10:00,2023-08-02,NEW DELHI,Mobile,99999.0,On Job Training,Morning,1
Inbound,Order Related,Delayed,No Remark,2023-08-01 16:28:00,2023-08-01 16:31:00,2023-08-01,KODERMA,Home Appliences,3199.0,31-60,Morning,5
Inbound,Returns,Fraudulent User,Excellent ,2023-08-02 21:06:00,2023-08-02 21:07:00,2023-08-02,FARIDABAD,LifeStyle,664.0,31-60,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 07:09:00,2023-08-02 07:10:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,4
Inbound,Cancellation,Return cancellation,Very good ,2023-08-01 16:37:00,2023-08-01 21:37:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,4
Inbound,Returns,Reverse Pickup Enquiry,Give proper guidance to the customer ,2023-08-01 18:41:00,2023-08-01 18:42:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Order Related,Unable to track,Please highlight if the products cannot be returned.,2023-08-01 21:28:00,2023-08-01 22:20:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,1
Outcall,Returns,Reverse Pickup Enquiry,3000 rupees loss ,2023-08-02 11:09:00,2023-08-02 15:05:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Morning,1
Outcall,Order Related,Installation/demo,Please don't sale any destroy product or cheep product more price. ,2023-08-02 13:38:00,2023-08-02 13:42:00,2023-08-02,Unknown,Unknown,979.0,0-30,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 13:55:00,2023-08-02 18:39:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Morning,4
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 14:24:00,2023-08-02 14:26:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,5
Outcall,Returns,Exchange / Replacement,No Remark,2023-08-02 14:47:00,2023-08-02 14:50:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Order Related,Order status enquiry,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,2023-08-01 00:54:00,2023-08-01 01:05:00,2023-08-01,KANYAKUMARI,Furniture,11159.0,0-30,Evening,3
Outcall,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 16:27:00,2023-08-01 16:27:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Order Related,Installation/demo,No comments ,2023-08-01 16:40:00,2023-08-01 16:44:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Order Related,Seller Cancelled Order,No Remark,2023-08-01 17:37:00,2023-08-01 17:43:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Order Related,Order status enquiry,No Remark,2023-08-02 22:08:00,2023-08-02 23:22:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Evening,3
Inbound,Returns,Reverse Pickup Enquiry,  good ????,2023-08-01 08:09:00,2023-08-01 08:11:00,2023-08-01,Unknown,Unknown,979.0,>90,Split,5
Inbound,Returns,Wrong,customer service number plz available,2023-08-01 09:56:00,2023-08-01 12:32:00,2023-08-01,Unknown,Unknown,979.0,>90,Split,5
Inbound,Order Related,Order status enquiry,No Remark,2023-08-01 12:19:00,2023-08-02 13:01:00,2023-08-02,Unknown,Unknown,979.0,>90,Split,5
Inbound,Order Related,Order status enquiry,No Remark,2023-08-01 22:07:00,2023-08-01 22:08:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Return request,Good,2023-08-01 13:47:00,2023-08-01 13:54:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Service Centres Related,No Remark,2023-08-01 16:46:00,2023-08-01 16:48:00,2023-08-01,Unknown,Unknown,979.0,61-90,Evening,4
Inbound,Order Related,Order status enquiry,Respectful ,2023-08-01 21:20:00,2023-08-01 21:21:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Product Queries,Product Specific Information,Very nice good,2023-08-02 14:40:00,2023-08-02 14:41:00,2023-08-02,Unknown,Unknown,979.0,61-90,Afternoon,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-07-31 23:58:00,2023-08-01 00:04:00,2023-08-01,BURDWAN,Electronics,699.0,31-60,Evening,4
Inbound,Returns,Service Centres Related,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue ,2023-08-01 06:28:00,2023-08-01 08:14:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,3
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 08:12:00,2023-08-01 09:33:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Fraudulent User,No Remark,2023-08-01 16:17:00,2023-08-01 16:17:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-07-30 13:15:00,2023-08-02 07:42:00,2023-08-02,JHUJHUNU,LifeStyle,799.0,>90,Afternoon,1
Outcall,Returns,Fraudulent User,Thanks ,2023-08-01 12:02:00,2023-08-01 13:44:00,2023-08-01,Unknown,Unknown,979.0,>90,Split,5
Inbound,Order Related,Invoice request,No Remark,2023-08-01 15:22:00,2023-08-01 15:26:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Outcall,Returns,Return request,No Remark,2023-08-02 12:06:00,2023-08-02 13:03:00,2023-08-02,Unknown,Unknown,979.0,0-30,Afternoon,5
Inbound,Order Related,Delayed,Try to deliver the product on time ,2023-08-01 21:40:00,2023-08-01 21:45:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,5
Outcall,Returns,Return request,No Remark,2023-08-01 22:01:00,2023-08-01 22:04:00,2023-08-01,Unknown,Unknown,979.0,0-30,Evening,5
Outcall,Returns,Wrong,Nice conversation good I will give rating for ?????,2023-08-02 08:00:00,2023-08-02 08:11:00,2023-08-02,Unknown,Unknown,979.0,0-30,Morning,5
Outcall,Returns,Wrong,No Remark,2023-08-02 10:53:00,2023-08-02 11:01:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 12:34:00,2023-08-02 18:43:00,2023-08-02,Unknown,Unknown,979.0,>90,Night,5
Inbound,Returns,Reverse Pickup Enquiry,Keep it up Shopzilla ,2023-08-02 17:52:00,2023-08-02 17:56:00,2023-08-02,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Returns,Missing,I am so happy ,2023-08-02 19:35:00,2023-08-02 19:45:00,2023-08-02,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Order Related,Installation/demo,No Remark,2023-08-01 09:50:00,2023-08-01 09:51:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Morning,1
Inbound,Returns,Return request,No Remark,2023-08-01 18:50:00,2023-08-01 18:52:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Order Related,Delayed,No Remark,2023-08-01 08:01:00,2023-08-01 08:06:00,2023-08-01,RANGAREDDY,Mobile,24999.0,>90,Morning,1
Inbound,Returns,Service Centres Related,No Remark,2023-08-02 15:48:00,2023-08-02 15:49:00,2023-08-02,DHENKANAL,Electronics,15490.0,>90,Afternoon,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 19:05:00,2023-08-01 19:12:00,2023-08-01,VERAVAL,Home,166.0,On Job Training,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 12:08:00,2023-08-01 12:10:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Outcall,Order Related,Installation/demo,No Remark,2023-08-02 06:35:00,2023-08-02 06:42:00,2023-08-02,Unknown,Unknown,979.0,0-30,Morning,1
Inbound,Order Related,Priority delivery,No Remark,2023-08-02 15:47:00,2023-08-02 15:50:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Refund Related,Refund Related Issues,Very bad agent,2023-08-02 13:18:00,2023-08-02 13:27:00,2023-08-02,PATTAMUNDAI,Mobile,10999.0,>90,Morning,1
Inbound,Returns,Return request,No Remark,2023-08-01 14:32:00,2023-08-01 14:34:00,2023-08-01,Unknown,Unknown,979.0,0-30,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 11:05:00,2023-08-02 11:07:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 16:19:00,2023-08-02 16:23:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Outcall,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 20:01:00,2023-08-02 20:04:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 21:02:00,2023-08-01 21:02:00,2023-08-01,PALAMU,LifeStyle,2129.0,>90,Afternoon,5
Inbound,Order Related,Order status enquiry,No Remark,2023-08-01 13:09:00,2023-08-01 13:11:00,2023-08-01,Unknown,Unknown,979.0,>90,Afternoon,5
